year,month,airport,carrier,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,arr_flights,arr_cancelled,arr_diverted,arr_del15,arr_delay,delay_ratio
2021,1,EWR,WN,0.0,0.0,41.34,0.0,10.31,382,16,3,59,51.64,0.1545
2021,1,EWR,AS,3.5,0.0,13.87,0.0,0.0,276,11,0,75,17.37,0.2717
2021,1,EWR,B6,5.15,0.04,0.0,0.0,3.23,58,1,0,11,8.4,0.1897
2021,1,EWR,NK,21.48,110.92,31.4,0.0,0.0,348,14,3,68,126.82,0.1954
2021,1,EWR,F9,0.0,0.0,39.42,0.0,30.68,414,9,0,104,70.11,0.2512
2021,1,EWR,G4,0.0,76.19,26.59,0.0,20.2,480,7,0,90,97.58,0.1875
2021,1,EWR,VX,34.38,0.0,58.3,1.8,58.61,389,9,1,86,153.08,0.2211
2021,1,CLT,AA,9.43,47.82,0.0,0.0,0.0,375,12,3,65,41.31,0.1733
2021,1,CLT,DL,17.57,0.0,0.0,0.0,0.0,396,10,1,119,17.57,0.3005
2021,1,CLT,UA,35.39,0.0,0.0,0.0,67.59,140,5,0,21,102.98,0.15
2021,1,CLT,WN,28.94,41.13,11.0,0.0,0.0,434,14,1,72,67.37,0.1659
2021,1,CLT,AS,49.12,18.57,17.6,0.0,0.0,317,11,1,72,79.11,0.2271
2021,1,CLT,B6,6.26,11.2,12.35,0.0,0.0,353,5,2,66,26.08,0.187
2021,1,CLT,NK,31.39,0.0,17.39,0.77,0.0,394,14,3,65,49.54,0.165
2021,1,CLT,F9,39.97,21.56,0.0,6.32,0.0,95,4,0,27,60.66,0.2842
2021,1,CLT,G4,0.0,56.61,41.38,0.0,0.0,76,2,0,25,79.12,0.3289
2021,1,CLT,VX,0.0,0.0,0.0,0.0,0.0,333,6,0,116,0.0,0.3483
2021,1,PHX,AA,43.18,0.0,38.7,0.0,0.0,345,9,1,66,81.88,0.1913
2021,1,PHX,DL,0.0,109.54,0.0,0.0,0.0,258,12,1,65,73.02,0.2519
2021,1,PHX,UA,5.27,0.0,54.34,0.0,40.33,60,1,0,19,99.95,0.3167
2021,1,PHX,WN,15.37,0.0,28.95,1.1,0.0,191,9,1,41,45.42,0.2147
2021,1,PHX,AS,0.0,102.35,55.82,0.0,63.5,482,12,4,149,187.56,0.3091
2021,1,PHX,B6,33.17,81.27,0.0,0.0,0.0,294,9,1,71,87.35,0.2415
2021,1,PHX,NK,0.0,62.49,0.0,5.43,0.0,68,3,0,20,47.09,0.2941
2021,1,PHX,F9,42.79,0.0,34.0,0.0,0.0,461,12,3,114,76.79,0.2473
2021,1,PHX,G4,0.0,0.0,4.57,0.0,43.03,479,17,0,160,47.61,0.334
2021,1,PHX,VX,23.8,13.0,0.0,0.0,0.0,308,7,0,104,32.47,0.3377
2021,1,IAH,AA,44.7,0.0,9.45,0.0,14.99,116,2,0,27,69.14,0.2328
2021,1,IAH,DL,16.76,0.0,57.68,4.96,45.73,295,8,1,68,125.12,0.2305
2021,1,IAH,UA,6.39,0.0,34.85,0.0,0.0,384,3,0,68,41.24,0.1771
2021,1,IAH,WN,17.6,83.24,19.36,0.0,0.0,188,6,0,32,92.45,0.1702
2021,1,IAH,AS,35.3,0.0,0.0,0.0,0.0,302,9,0,75,35.3,0.2483
2021,1,IAH,B6,30.15,0.0,0.0,0.0,24.32,166,8,1,35,54.47,0.2108
2021,1,IAH,NK,41.12,0.0,0.0,0.0,23.3,128,1,1,29,64.42,0.2266
2021,1,IAH,F9,39.41,0.0,26.17,0.0,0.0,467,14,0,154,65.59,0.3298
2021,1,IAH,G4,11.99,9.82,0.0,0.0,0.0,417,18,1,82,18.53,0.1966
2021,1,IAH,VX,0.0,5.1,0.0,0.0,0.0,106,2,0,23,3.4,0.217
2021,1,MIA,AA,0.0,0.0,7.84,0.0,68.42,158,7,0,38,76.26,0.2405
2021,1,MIA,DL,47.81,0.0,24.64,0.0,0.0,338,13,3,60,72.44,0.1775
2021,1,MIA,UA,20.35,0.0,0.0,0.0,59.2,62,1,0,15,79.55,0.2419
2021,1,MIA,WN,47.15,55.13,22.28,0.0,32.62,109,2,0,27,138.8,0.2477
2021,1,MIA,AS,17.34,0.0,51.92,0.0,0.0,192,8,1,40,69.26,0.2083
2021,1,MIA,B6,37.55,0.0,41.17,0.0,0.0,378,6,2,81,78.71,0.2143
2021,1,MIA,NK,17.85,0.0,0.0,0.0,51.9,326,5,2,107,69.75,0.3282
2021,1,MIA,F9,0.0,88.28,1.61,2.67,0.0,56,1,0,16,63.13,0.2857
2021,1,MIA,G4,10.31,42.31,44.12,0.0,0.0,260,5,0,73,82.63,0.2808
2021,1,MIA,VX,0.0,0.0,9.83,0.0,56.48,162,5,1,32,66.32,0.1975
2021,1,BOS,AA,30.93,28.51,51.95,0.0,0.0,164,3,0,31,101.88,0.189
2021,1,BOS,DL,1.36,113.0,21.27,0.0,0.0,470,7,4,144,97.96,0.3064
2021,1,BOS,UA,25.13,79.16,44.63,0.0,36.42,90,1,0,26,158.95,0.2889
2021,1,BOS,WN,34.34,0.0,45.25,0.0,0.0,80,1,0,12,79.59,0.15
2021,1,BOS,AS,0.0,119.83,36.6,0.0,0.0,390,13,0,126,116.49,0.3231
2021,1,BOS,B6,36.68,0.0,0.0,0.0,1.68,231,3,1,68,38.37,0.2944
2021,1,BOS,NK,45.02,5.55,50.65,0.0,4.66,451,20,4,77,104.03,0.1707
2021,1,BOS,F9,0.0,23.41,0.0,0.0,0.0,118,5,1,35,15.6,0.2966
2021,1,BOS,G4,0.0,0.0,35.06,0.0,2.65,241,9,0,81,37.71,0.3361
2021,1,BOS,VX,40.92,0.0,0.0,0.0,0.0,159,1,0,48,40.92,0.3019
2021,1,MSP,AA,0.0,0.0,49.89,0.0,41.24,302,10,0,84,91.13,0.2781
2021,1,MSP,DL,43.91,0.0,0.0,0.0,10.7,413,11,2,123,54.61,0.2978
2021,1,MSP,UA,20.73,0.0,0.0,0.0,35.18,170,2,0,47,55.91,0.2765
2021,1,MSP,WN,0.0,119.74,58.27,0.0,0.0,144,7,1,36,138.1,0.25
2021,1,MSP,AS,37.76,8.52,7.96,0.0,0.0,394,10,1,126,51.39,0.3198
2021,1,MSP,B6,33.16,99.36,0.0,0.0,24.98,200,3,1,65,124.38,0.325
2021,1,MSP,NK,40.41,0.0,0.0,5.41,0.0,261,9,1,57,45.82,0.2184
2021,1,MSP,F9,48.8,0.0,18.98,0.0,0.0,494,10,2,96,67.78,0.1943
2021,1,MSP,G4,45.67,0.0,28.72,0.0,7.6,221,10,1,49,81.98,0.2217
2021,1,MSP,VX,0.0,64.06,0.0,0.0,55.85,186,3,0,58,98.56,0.3118
2021,1,FLL,AA,8.22,0.0,17.12,0.0,37.35,85,1,0,26,62.69,0.3059
2021,1,FLL,DL,2.56,0.0,14.87,0.0,0.0,223,8,0,35,17.43,0.157
2021,1,FLL,UA,32.3,0.0,0.0,0.0,0.0,220,5,0,69,32.3,0.3136
2021,1,FLL,WN,30.95,113.42,53.79,0.0,0.0,138,4,0,30,160.35,0.2174
2021,1,FLL,AS,26.39,43.33,45.69,0.0,46.22,395,17,2,78,147.19,0.1975
2021,1,FLL,B6,39.22,107.57,45.23,0.0,54.82,125,4,1,42,210.99,0.336
2021,1,FLL,NK,0.0,0.0,48.05,0.0,0.0,208,7,1,62,48.05,0.2981
2021,1,FLL,F9,36.93,118.02,49.84,0.0,0.0,487,12,0,148,165.46,0.3039
2021,1,FLL,G4,31.81,0.0,34.36,0.0,21.67,345,13,1,119,87.84,0.3449
2021,1,FLL,VX,5.57,0.0,0.0,7.44,11.63,492,18,3,79,24.63,0.1606
2021,1,DTW,AA,18.53,61.95,57.07,0.0,0.0,201,5,1,31,116.9,0.1542
2021,1,DTW,DL,24.12,0.0,9.99,0.0,0.0,277,7,2,94,34.11,0.3394
2021,1,DTW,UA,27.11,81.87,0.0,0.0,0.0,302,8,1,99,81.68,0.3278
2021,1,DTW,WN,24.79,114.69,7.85,0.0,40.97,189,3,1,57,150.08,0.3016
2021,1,DTW,AS,37.23,52.69,5.89,3.19,41.6,345,7,2,93,123.03,0.2696
2021,1,DTW,B6,0.0,0.0,41.09,0.0,61.92,234,5,0,38,103.01,0.1624
2021,1,DTW,NK,29.31,113.56,48.08,0.0,24.34,481,15,4,74,177.44,0.1538
2021,1,DTW,F9,10.56,81.59,0.0,0.0,0.0,105,4,0,22,64.95,0.2095
2021,1,DTW,G4,0.0,0.0,0.0,0.0,46.27,184,2,1,31,46.27,0.1685
2021,1,DTW,VX,5.22,0.0,0.0,6.6,46.78,349,4,2,99,58.6,0.2837
2021,1,PHL,AA,4.8,91.75,7.87,0.0,0.0,476,23,1,145,73.84,0.3046
2021,1,PHL,DL,1.42,0.0,25.88,0.0,14.5,347,13,3,113,41.8,0.3256
2021,1,PHL,UA,0.0,0.0,0.0,0.0,50.59,266,2,1,86,50.59,0.3233
2021,1,PHL,WN,19.76,0.0,59.26,0.0,8.57,435,7,1,69,87.59,0.1586
2021,1,PHL,AS,0.0,40.87,0.0,0.0,0.0,181,8,0,32,27.25,0.1768
2021,1,PHL,B6,1.98,0.0,55.11,0.0,0.0,345,6,1,97,57.09,0.2812
2021,1,PHL,NK,13.83,0.0,56.94,0.0,29.08,343,16,2,90,99.85,0.2624
2021,1,PHL,F9,49.42,0.0,19.64,0.0,0.0,326,10,3,63,69.06,0.1933
2021,1,PHL,G4,0.0,0.0,19.48,0.0,28.3,226,8,0,77,47.78,0.3407
2021,1,PHL,VX,0.0,0.0,0.0,0.0,62.47,162,6,1,39,62.47,0.2407
2021,1,LGA,AA,25.28,21.88,48.23,0.0,66.62,74,3,0,25,154.72,0.3378
2021,1,LGA,DL,48.4,0.0,39.96,0.0,0.0,486,12,1,92,88.37,0.1893
2021,1,LGA,UA,0.0,65.79,19.01,0.0,38.64,485,15,4,141,101.52,0.2907
2021,1,LGA,WN,0.0,97.8,59.9,0.0,13.55,192,4,0,55,138.65,0.2865
2021,1,LGA,AS,0.0,0.0,15.53,0.0,46.19,241,4,1,84,61.72,0.3485
2021,1,LGA,B6,21.05,0.0,0.91,0.0,21.89,331,10,1,65,43.85,0.1964
2021,1,LGA,NK,0.0,0.0,0.0,0.0,32.61,192,9,1,47,32.61,0.2448
2021,1,LGA,F9,3.8,0.0,18.64,0.0,0.0,212,5,1,73,22.44,0.3443
2021,1,LGA,G4,3.92,67.57,32.85,0.0,34.4,74,1,0,16,116.21,0.2162
2021,1,LGA,VX,0.0,13.45,4.74,0.0,9.95,152,3,1,32,23.66,0.2105
2021,1,BWI,AA,7.37,60.9,0.0,0.0,0.0,423,12,1,128,47.97,0.3026
2021,1,BWI,DL,19.35,60.28,7.84,0.0,0.0,462,18,2,111,67.38,0.2403
2021,1,BWI,UA,0.0,33.7,33.65,0.0,0.0,88,3,0,18,56.12,0.2045
2021,1,BWI,WN,8.31,0.0,47.05,0.0,0.0,413,12,2,83,55.36,0.201
2021,1,BWI,AS,22.13,0.0,0.0,0.0,0.0,439,19,3,115,22.13,0.262
2021,1,BWI,B6,6.56,0.0,33.66,8.87,0.0,419,12,3,87,49.09,0.2076
2021,1,BWI,NK,19.74,21.61,0.0,0.0,47.37,112,1,0,20,81.52,0.1786
2021,1,BWI,F9,49.83,0.0,2.73,0.0,51.64,372,8,1,56,104.19,0.1505
2021,1,BWI,G4,35.37,0.0,26.47,0.0,35.49,357,4,2,89,97.32,0.2493
2021,1,BWI,VX,45.66,0.0,0.0,0.0,13.22,70,0,0,19,58.88,0.2714
2021,1,SLC,AA,0.0,108.7,7.64,0.0,21.89,152,6,0,40,102.0,0.2632
2021,1,SLC,DL,1.07,0.0,0.0,0.0,20.02,137,6,0,32,21.09,0.2336
2021,1,SLC,UA,0.0,0.0,0.0,0.0,0.0,331,8,0,115,0.0,0.3474
2021,1,SLC,WN,0.0,0.0,26.91,0.0,0.0,85,1,0,29,26.91,0.3412
2021,1,SLC,AS,45.82,0.0,56.53,0.0,41.66,220,6,0,46,144.01,0.2091
2021,1,SLC,B6,4.37,113.9,9.56,0.0,45.64,331,10,1,94,135.51,0.284
2021,1,SLC,NK,0.11,0.0,11.21,0.0,47.95,347,10,0,87,59.27,0.2507
2021,1,SLC,F9,0.0,0.0,16.61,0.0,0.0,62,1,0,19,16.61,0.3065
2021,1,SLC,G4,0.01,0.0,0.0,4.86,35.5,179,3,0,35,40.38,0.1955
2021,1,SLC,VX,49.22,0.0,0.0,0.0,11.15,411,17,2,61,60.37,0.1484
2021,1,IAD,AA,41.2,109.0,20.34,0.0,58.25,113,2,1,20,192.46,0.177
2021,1,IAD,DL,11.72,0.0,0.0,0.0,20.9,435,6,3,126,32.62,0.2897
2021,1,IAD,UA,18.97,0.0,9.27,0.0,60.68,89,3,0,20,88.92,0.2247
2021,1,IAD,WN,11.98,0.0,0.0,0.0,0.0,475,21,4,84,11.98,0.1768
2021,1,IAD,AS,45.56,0.0,0.0,0.0,46.13,144,6,1,34,91.69,0.2361
2021,1,IAD,B6,18.41,0.0,32.17,0.0,15.38,394,12,1,119,65.95,0.302
2021,1,IAD,NK,0.0,116.25,0.0,0.0,0.0,430,4,4,107,77.5,0.2488
2021,1,IAD,F9,25.47,0.0,23.65,0.0,24.25,173,1,0,46,73.37,0.2659
2021,1,IAD,G4,20.45,89.91,36.25,0.0,0.0,88,2,0,18,116.63,0.2045
2021,1,IAD,VX,19.05,92.51,42.22,0.0,0.0,185,3,0,49,122.93,0.2649
2021,1,DCA,AA,49.0,0.0,23.24,1.46,1.09,428,4,2,82,74.78,0.1916
2021,1,DCA,DL,33.85,0.0,55.6,0.0,0.0,91,2,0,19,89.46,0.2088
2021,1,DCA,UA,0.0,0.0,13.6,0.0,44.07,209,3,0,35,57.67,0.1675
2021,1,DCA,WN,33.64,0.0,0.0,0.0,55.14,88,2,0,23,88.78,0.2614
2021,1,DCA,AS,48.07,0.0,0.0,0.0,0.0,298,14,2,80,48.07,0.2685
2021,1,DCA,B6,8.03,0.0,35.25,0.0,0.0,423,4,1,140,43.28,0.331
2021,1,DCA,NK,13.62,105.04,54.15,0.0,48.47,171,2,1,51,186.27,0.2982
2021,1,DCA,F9,47.79,90.28,42.13,0.0,0.0,142,4,0,35,150.11,0.2465
2021,1,DCA,G4,0.0,0.0,32.5,0.0,0.0,138,1,0,40,32.5,0.2899
2021,1,DCA,VX,0.0,34.63,0.0,0.0,7.33,74,1,0,18,30.42,0.2432
2021,1,MDW,AA,22.7,0.0,0.0,0.0,0.0,277,4,0,56,22.7,0.2022
2021,1,MDW,DL,48.94,1.86,0.0,0.0,32.77,120,4,0,35,82.95,0.2917
2021,1,MDW,UA,49.01,38.16,51.18,0.0,32.22,264,3,2,88,157.85,0.3333
2021,1,MDW,WN,41.73,20.89,0.0,0.0,38.54,299,10,2,57,94.2,0.1906
2021,1,MDW,AS,0.0,109.03,6.88,0.0,59.3,487,9,4,147,138.87,0.3018
2021,1,MDW,B6,0.0,0.0,12.15,0.0,0.0,329,9,1,97,12.15,0.2948
2021,1,MDW,NK,45.02,0.0,47.86,3.94,1.09,170,2,1,46,97.91,0.2706
2021,1,MDW,F9,49.84,0.0,0.0,0.0,42.91,417,4,2,97,92.75,0.2326
2021,1,MDW,G4,16.27,70.36,0.0,0.0,0.0,450,7,3,135,63.18,0.3
2021,1,MDW,VX,0.0,30.58,0.0,0.0,40.58,326,5,2,109,60.97,0.3344
2021,1,TPA,AA,0.0,13.86,31.95,0.0,0.0,494,18,2,85,41.19,0.1721
2021,1,TPA,DL,46.64,66.82,34.49,0.0,0.0,158,7,0,32,125.67,0.2025
2021,1,TPA,UA,7.4,36.56,0.0,0.0,19.15,231,3,2,66,50.92,0.2857
2021,1,TPA,WN,0.0,0.0,0.0,0.0,0.0,334,11,0,77,0.0,0.2305
2021,1,TPA,AS,3.34,0.0,30.95,0.0,30.54,369,9,1,75,64.84,0.2033
2021,1,TPA,B6,23.28,0.0,0.0,0.0,0.0,403,17,1,99,23.28,0.2457
2021,1,TPA,NK,48.76,0.0,32.29,0.0,0.0,112,1,1,28,81.04,0.25
2021,1,TPA,F9,32.15,0.0,0.0,0.0,37.18,337,7,2,82,69.32,0.2433
2021,1,TPA,G4,46.11,0.0,19.26,0.0,0.0,144,2,0,47,65.37,0.3264
2021,1,TPA,VX,9.59,0.0,0.0,0.0,0.0,137,2,0,39,9.59,0.2847
2021,1,BNA,AA,0.0,97.33,30.72,9.46,59.08,482,18,2,118,164.14,0.2448
2021,1,BNA,DL,5.21,0.0,14.33,0.0,0.0,426,20,1,93,19.54,0.2183
2021,1,BNA,UA,0.0,0.0,42.11,0.0,0.0,70,1,0,12,42.11,0.1714
2021,1,BNA,WN,43.14,0.0,0.0,0.0,0.0,105,3,0,28,43.14,0.2667
2021,1,BNA,AS,48.77,115.94,41.23,0.0,14.29,350,12,0,119,181.59,0.34
2021,1,BNA,B6,0.0,0.0,0.0,0.0,0.0,269,10,2,66,0.0,0.2454
2021,1,BNA,NK,28.85,0.0,0.0,0.0,21.35,466,22,2,112,50.2,0.2403
2021,1,BNA,F9,32.51,0.0,23.29,0.0,0.0,141,4,0,23,55.8,0.1631
2021,1,BNA,G4,0.0,0.0,7.74,0.0,9.09,287,4,1,68,16.83,0.2369
2021,1,BNA,VX,8.46,0.0,56.43,0.0,0.0,225,6,1,53,64.89,0.2356
2021,1,AUS,AA,11.4,63.03,2.39,0.0,58.37,255,10,1,66,114.17,0.2588
2021,1,AUS,DL,0.0,0.0,23.22,0.0,63.27,338,13,1,100,86.49,0.2959
