year,month,airport,airport_name,carrier,carrier_name,arr_flights,arr_cancelled,arr_diverted,arr_del15,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,delay_ratio
2023,1,ORD,Chicago O'Hare International,DL,Delta Air Lines,644,9,4,170,5492.42,42,42,28,10,48,0.264
2023,1,ORD,Chicago O'Hare International,UA,United Airlines,1471,24,3,527,18028.4,59,105,210,5,148,0.3583
2023,1,ORD,Chicago O'Hare International,WN,Southwest Airlines,1508,5,5,333,10968.44,145,14,43,29,102,0.2208
2023,1,ORD,Chicago O'Hare International,B6,JetBlue Airways,1961,24,3,446,13577.32,34,71,305,5,31,0.2274
2023,1,ORD,Chicago O'Hare International,AS,Alaska Airlines,1976,9,8,518,10778.11,216,42,80,30,150,0.2621
2023,1,ORD,Chicago O'Hare International,NK,Spirit Airlines,1504,24,6,639,13687.1,74,148,208,23,186,0.4249
2023,1,ORD,Chicago O'Hare International,F9,Frontier Airlines,1150,17,5,382,8485.9,115,66,147,14,40,0.3322
2023,1,DFW,Dallas/Fort Worth International,AA,American Airlines,744,10,0,266,4820.52,95,80,44,9,38,0.3575
2023,1,DFW,Dallas/Fort Worth International,DL,Delta Air Lines,1799,25,0,185,4947.02,78,27,31,21,28,0.1028
2023,1,DFW,Dallas/Fort Worth International,UA,United Airlines,1096,20,1,465,10290.89,53,102,161,18,131,0.4243
2023,1,DFW,Dallas/Fort Worth International,WN,Southwest Airlines,1414,18,3,374,9425.11,44,34,183,13,100,0.2645
2023,1,DFW,Dallas/Fort Worth International,B6,JetBlue Airways,1404,28,0,360,11379.63,187,35,30,12,96,0.2564
2023,1,DFW,Dallas/Fort Worth International,AS,Alaska Airlines,818,8,1,262,5533.26,44,78,72,4,64,0.3203
2023,1,DFW,Dallas/Fort Worth International,NK,Spirit Airlines,1397,12,6,560,11012.09,39,123,221,27,150,0.4009
2023,1,DFW,Dallas/Fort Worth International,F9,Frontier Airlines,1708,22,0,373,9766.29,43,70,100,26,134,0.2184
2023,1,DEN,Denver International,AA,American Airlines,1296,6,1,375,8568.46,117,10,114,8,126,0.2894
2023,1,DEN,Denver International,DL,Delta Air Lines,1780,35,8,514,11154.27,189,134,94,12,85,0.2888
2023,1,DEN,Denver International,UA,United Airlines,735,14,5,238,4486.88,89,17,110,5,17,0.3238
2023,1,DEN,Denver International,WN,Southwest Airlines,1420,21,2,293,5615.3,34,140,35,27,57,0.2063
2023,1,DEN,Denver International,B6,JetBlue Airways,751,15,1,274,7701.27,71,25,87,7,84,0.3648
2023,1,DEN,Denver International,AS,Alaska Airlines,1654,7,6,629,21316.81,188,159,159,33,90,0.3803
2023,1,DEN,Denver International,NK,Spirit Airlines,974,15,5,220,6472.12,60,40,82,12,26,0.2259
2023,1,DEN,Denver International,F9,Frontier Airlines,1131,19,2,235,4522.68,38,11,132,19,35,0.2078
2023,1,JFK,John F. Kennedy International,AA,American Airlines,988,13,2,186,4249.13,36,54,32,7,57,0.1883
2023,1,JFK,John F. Kennedy International,DL,Delta Air Lines,1357,22,5,431,9951.55,97,145,17,21,151,0.3176
2023,1,JFK,John F. Kennedy International,UA,United Airlines,1726,8,2,283,6449.53,87,39,69,9,79,0.164
2023,1,JFK,John F. Kennedy International,WN,Southwest Airlines,984,16,2,313,6970.22,46,97,82,16,72,0.3181
2023,1,JFK,John F. Kennedy International,B6,JetBlue Airways,723,6,5,191,5941.82,74,45,20,0,52,0.2642
2023,1,JFK,John F. Kennedy International,AS,Alaska Airlines,1683,13,2,603,11625.32,209,123,233,0,38,0.3583
2023,1,JFK,John F. Kennedy International,NK,Spirit Airlines,1772,33,2,464,11742.16,159,19,204,35,47,0.2619
2023,1,JFK,John F. Kennedy International,F9,Frontier Airlines,708,9,2,172,5046.11,25,55,41,10,41,0.2429
2023,1,SFO,San Francisco International,AA,American Airlines,1219,22,6,325,11243.54,124,89,54,7,51,0.2666
2023,1,SFO,San Francisco International,DL,Delta Air Lines,1968,16,6,507,14899.93,26,55,185,26,215,0.2576
2023,1,SFO,San Francisco International,UA,United Airlines,1844,20,4,362,11799.78,60,189,70,24,19,0.1963
2023,1,SFO,San Francisco International,WN,Southwest Airlines,1004,11,3,206,6019.44,64,49,73,7,13,0.2052
2023,1,SFO,San Francisco International,B6,JetBlue Airways,1292,15,2,382,9471.51,37,81,104,20,140,0.2957
2023,1,SFO,San Francisco International,AS,Alaska Airlines,1518,15,0,280,5222.1,49,76,60,18,77,0.1845
2023,1,SFO,San Francisco International,NK,Spirit Airlines,1616,18,5,493,12102.32,206,90,126,32,39,0.3051
2023,1,SFO,San Francisco International,F9,Frontier Airlines,1584,11,4,282,7143.64,31,121,15,12,103,0.178
2023,1,SEA,Seattle-Tacoma International,AA,American Airlines,1728,34,5,505,11745.21,179,90,78,19,139,0.2922
2023,1,SEA,Seattle-Tacoma International,DL,Delta Air Lines,1308,15,3,321,9474.12,95,42,64,13,107,0.2454
2023,1,SEA,Seattle-Tacoma International,UA,United Airlines,924,14,4,189,4077.32,58,61,15,9,46,0.2045
2023,1,SEA,Seattle-Tacoma International,WN,Southwest Airlines,1927,25,7,543,17100.97,133,123,124,32,131,0.2818
2023,1,SEA,Seattle-Tacoma International,B6,JetBlue Airways,1944,15,1,643,21980.31,92,141,186,5,219,0.3308
2023,1,SEA,Seattle-Tacoma International,AS,Alaska Airlines,1024,14,1,225,4986.52,123,35,52,0,15,0.2197
2023,1,SEA,Seattle-Tacoma International,NK,Spirit Airlines,1418,24,1,505,15257.0,136,116,176,18,59,0.3561
2023,1,SEA,Seattle-Tacoma International,F9,Frontier Airlines,1268,20,3,325,10781.95,82,28,182,22,11,0.2563
2023,1,LAS,McCarran International,AA,American Airlines,1901,11,6,462,12693.87,76,55,280,29,22,0.243
2023,1,LAS,McCarran International,DL,Delta Air Lines,838,12,1,318,9036.0,79,77,86,10,66,0.3795
2023,1,LAS,McCarran International,UA,United Airlines,1818,32,8,546,16805.99,134,50,258,28,76,0.3003
2023,1,LAS,McCarran International,WN,Southwest Airlines,1684,13,8,590,11397.16,144,170,137,17,122,0.3504
2023,1,LAS,McCarran International,B6,JetBlue Airways,1108,12,2,355,7300.26,105,50,153,2,45,0.3204
2023,1,LAS,McCarran International,AS,Alaska Airlines,1267,9,5,320,8711.8,74,18,121,13,94,0.2526
2023,1,LAS,McCarran International,NK,Spirit Airlines,1320,6,1,481,15663.5,127,109,212,18,15,0.3644
2023,1,LAS,McCarran International,F9,Frontier Airlines,1893,29,7,540,17905.27,21,100,167,24,228,0.2853
2023,1,MCO,Orlando International,AA,American Airlines,1326,22,5,450,11434.15,159,66,139,7,79,0.3394
2023,1,MCO,Orlando International,DL,Delta Air Lines,687,11,2,256,4725.36,71,31,74,2,78,0.3726
2023,1,MCO,Orlando International,UA,United Airlines,1284,23,4,293,9591.79,26,31,179,13,44,0.2282
2023,1,MCO,Orlando International,WN,Southwest Airlines,937,5,2,253,6005.59,68,51,69,14,51,0.27
2023,1,MCO,Orlando International,B6,JetBlue Airways,1260,13,6,233,7160.89,127,42,35,15,14,0.1849
2023,1,MCO,Orlando International,AS,Alaska Airlines,724,10,1,195,4170.88,28,15,111,0,41,0.2693
2023,1,MCO,Orlando International,NK,Spirit Airlines,672,7,1,259,8834.97,36,40,100,1,82,0.3854
2023,1,MCO,Orlando International,F9,Frontier Airlines,1401,27,4,394,12301.65,114,52,170,19,39,0.2812
2023,1,EWR,Newark Liberty International,AA,American Airlines,908,9,0,315,10532.48,94,13,94,18,96,0.3469
2023,1,EWR,Newark Liberty International,DL,Delta Air Lines,1254,17,5,349,6886.58,70,19,166,22,72,0.2783
2023,1,EWR,Newark Liberty International,UA,United Airlines,1905,24,9,670,18127.97,226,40,304,2,98,0.3517
2023,1,EWR,Newark Liberty International,WN,Southwest Airlines,1723,16,1,630,20147.16,149,175,189,0,117,0.3656
2023,1,EWR,Newark Liberty International,B6,JetBlue Airways,812,11,2,343,7201.05,101,68,105,4,65,0.4224
2023,1,EWR,Newark Liberty International,AS,Alaska Airlines,1494,25,4,681,17300.65,177,147,213,15,129,0.4558
2023,1,EWR,Newark Liberty International,NK,Spirit Airlines,1837,22,5,511,11316.44,238,72,59,17,125,0.2782
2023,1,EWR,Newark Liberty International,F9,Frontier Airlines,1400,23,6,384,8099.05,106,17,141,27,93,0.2743
2023,1,CLT,Charlotte Douglas International,AA,American Airlines,987,10,2,221,5918.97,63,45,85,17,11,0.2239
2023,1,CLT,Charlotte Douglas International,DL,Delta Air Lines,952,6,1,438,9673.45,112,62,140,17,107,0.4601
2023,1,CLT,Charlotte Douglas International,UA,United Airlines,1420,25,7,261,6492.33,134,14,38,9,66,0.1838
2023,1,CLT,Charlotte Douglas International,WN,Southwest Airlines,1038,14,5,381,9084.52,94,57,136,17,77,0.3671
2023,1,CLT,Charlotte Douglas International,B6,JetBlue Airways,1861,26,5,571,12515.83,199,126,153,19,74,0.3068
2023,1,CLT,Charlotte Douglas International,AS,Alaska Airlines,1821,17,5,383,11703.05,50,147,109,12,65,0.2103
2023,1,CLT,Charlotte Douglas International,NK,Spirit Airlines,1092,21,4,255,6154.42,92,22,64,9,68,0.2335
2023,1,CLT,Charlotte Douglas International,F9,Frontier Airlines,1135,5,5,208,6210.07,52,45,26,1,84,0.1833
2023,1,PHX,Phoenix Sky Harbor International,AA,American Airlines,846,15,3,211,5515.15,33,11,88,9,70,0.2494
2023,1,PHX,Phoenix Sky Harbor International,DL,Delta Air Lines,1197,10,0,370,9180.45,84,120,137,3,26,0.3091
2023,1,PHX,Phoenix Sky Harbor International,UA,United Airlines,760,14,5,118,4117.8,26,29,34,9,20,0.1553
2023,1,PHX,Phoenix Sky Harbor International,WN,Southwest Airlines,833,13,3,382,9346.17,97,86,116,7,76,0.4586
2023,1,PHX,Phoenix Sky Harbor International,B6,JetBlue Airways,1364,14,6,568,10805.58,170,119,93,18,168,0.4164
2023,1,PHX,Phoenix Sky Harbor International,AS,Alaska Airlines,1852,11,3,449,9912.89,180,64,150,5,50,0.2424
2023,1,PHX,Phoenix Sky Harbor International,NK,Spirit Airlines,1544,7,2,448,11642.85,20,114,130,22,162,0.2902
2023,1,PHX,Phoenix Sky Harbor International,F9,Frontier Airlines,692,8,2,197,6640.18,56,68,24,10,39,0.2847
2023,1,IAH,George Bush Intercontinental,AA,American Airlines,1930,17,6,579,13036.62,49,149,130,9,242,0.3
2023,1,IAH,George Bush Intercontinental,DL,Delta Air Lines,872,6,0,256,5149.19,41,49,91,9,66,0.2936
2023,1,IAH,George Bush Intercontinental,UA,United Airlines,1768,14,6,552,15547.98,89,138,267,28,30,0.3122
2023,1,IAH,George Bush Intercontinental,WN,Southwest Airlines,1347,15,4,302,8450.29,84,16,38,7,157,0.2242
2023,1,IAH,George Bush Intercontinental,B6,JetBlue Airways,673,9,4,203,5902.36,25,58,37,7,76,0.3016
2023,1,IAH,George Bush Intercontinental,AS,Alaska Airlines,1095,10,4,494,11814.18,131,91,140,2,130,0.4511
2023,1,IAH,George Bush Intercontinental,NK,Spirit Airlines,1185,15,5,346,10308.19,46,119,56,10,115,0.292
2023,1,IAH,George Bush Intercontinental,F9,Frontier Airlines,1112,17,4,218,5122.05,29,68,37,10,74,0.196
2023,1,MIA,Miami International,AA,American Airlines,1905,30,8,677,12809.83,231,10,292,29,115,0.3554
2023,1,MIA,Miami International,DL,Delta Air Lines,1488,16,7,575,12960.47,180,123,209,1,62,0.3864
2023,1,MIA,Miami International,UA,United Airlines,854,9,3,301,8533.6,109,72,30,0,90,0.3525
2023,1,MIA,Miami International,WN,Southwest Airlines,1032,10,2,291,6349.59,90,11,156,13,21,0.282
2023,1,MIA,Miami International,B6,JetBlue Airways,825,12,0,293,8787.66,102,29,78,9,75,0.3552
2023,1,MIA,Miami International,AS,Alaska Airlines,1320,20,3,476,10110.42,82,126,156,4,108,0.3606
2023,1,MIA,Miami International,NK,Spirit Airlines,1621,21,2,452,15314.76,37,80,212,26,97,0.2788
2023,1,MIA,Miami International,F9,Frontier Airlines,1471,13,0,583,20394.12,92,86,229,18,158,0.3963
2023,2,ATL,Hartsfield-Jackson Atlanta International,AA,American Airlines,1441,9,7,554,17156.73,157,133,103,10,151,0.3845
2023,2,ATL,Hartsfield-Jackson Atlanta International,DL,Delta Air Lines,1257,19,2,559,13701.37,68,135,193,7,156,0.4447
2023,2,ATL,Hartsfield-Jackson Atlanta International,UA,United Airlines,1910,31,0,690,24014.1,101,200,257,24,108,0.3613
2023,2,ATL,Hartsfield-Jackson Atlanta International,WN,Southwest Airlines,1937,14,7,474,15540.05,29,42,272,37,94,0.2447
2023,2,ATL,Hartsfield-Jackson Atlanta International,B6,JetBlue Airways,1360,8,4,466,15287.53,136,13,199,4,114,0.3426
2023,2,ATL,Hartsfield-Jackson Atlanta International,AS,Alaska Airlines,892,6,3,369,7145.82,120,43,101,12,93,0.4137
2023,2,ATL,Hartsfield-Jackson Atlanta International,NK,Spirit Airlines,1177,22,3,366,10429.83,101,90,139,17,19,0.311
2023,2,ATL,Hartsfield-Jackson Atlanta International,F9,Frontier Airlines,1024,14,1,372,10703.82,115,21,126,3,107,0.3633
2023,2,LAX,Los Angeles International,AA,American Airlines,804,12,1,301,7077.83,108,48,130,0,15,0.3744
2023,2,LAX,Los Angeles International,DL,Delta Air Lines,731,9,2,245,6126.2,67,65,33,3,77,0.3352
2023,2,LAX,Los Angeles International,UA,United Airlines,1756,30,2,364,10779.24,63,54,55,24,168,0.2073
2023,2,LAX,Los Angeles International,WN,Southwest Airlines,1455,23,2,520,11617.09,79,128,178,8,127,0.3574
2023,2,LAX,Los Angeles International,B6,JetBlue Airways,655,12,2,178,5137.43,40,14,71,5,48,0.2718
2023,2,LAX,Los Angeles International,AS,Alaska Airlines,1334,13,3,322,7094.46,97,60,113,15,37,0.2414
2023,2,LAX,Los Angeles International,NK,Spirit Airlines,1576,16,4,409,7418.31,199,85,20,25,80,0.2595
2023,2,LAX,Los Angeles International,F9,Frontier Airlines,1763,29,0,652,20624.61,175,137,161,14,165,0.3698
2023,2,ORD,Chicago O'Hare International,AA,American Airlines,998,15,1,319,9144.71,99,42,50,3,125,0.3196
2023,2,ORD,Chicago O'Hare International,DL,Delta Air Lines,704,9,3,211,7060.83,24,56,108,2,21,0.2997
2023,2,ORD,Chicago O'Hare International,UA,United Airlines,1175,18,1,406,10771.39,71,26,153,11,145,0.3455
2023,2,ORD,Chicago O'Hare International,WN,Southwest Airlines,1086,10,2,503,16496.76,136,115,138,9,105,0.4632
2023,2,ORD,Chicago O'Hare International,B6,JetBlue Airways,1957,12,7,466,14761.94,39,46,130,25,226,0.2381
2023,2,ORD,Chicago O'Hare International,AS,Alaska Airlines,1239,7,6,272,6998.93,121,11,82,17,41,0.2195
2023,2,ORD,Chicago O'Hare International,NK,Spirit Airlines,1741,28,4,669,14701.26,169,107,205,6,182,0.3843
2023,2,ORD,Chicago O'Hare International,F9,Frontier Airlines,680,13,2,244,8164.14,48,18,96,13,69,0.3588
2023,2,DFW,Dallas/Fort Worth International,AA,American Airlines,1134,18,0,239,4773.8,55,15,24,9,136,0.2108
2023,2,DFW,Dallas/Fort Worth International,DL,Delta Air Lines,1024,9,3,386,11818.77,78,57,153,13,85,0.377
2023,2,DFW,Dallas/Fort Worth International,UA,United Airlines,892,11,5,245,7285.02,32,72,119,8,14,0.2747
2023,2,DFW,Dallas/Fort Worth International,WN,Southwest Airlines,995,12,3,236,7865.61,50,56,40,11,79,0.2372
2023,2,DFW,Dallas/Fort Worth International,B6,JetBlue Airways,1696,16,0,446,8723.07,121,80,112,7,126,0.263
2023,2,DFW,Dallas/Fort Worth International,AS,Alaska Airlines,987,15,5,186,6474.65,96,12,27,10,41,0.1884
2023,2,DFW,Dallas/Fort Worth International,NK,Spirit Airlines,1928,18,1,908,19677.43,232,205,298,13,160,0.471
2023,2,DFW,Dallas/Fort Worth International,F9,Frontier Airlines,1021,15,1,348,12085.51,120,86,15,8,119,0.3408
2023,2,DEN,Denver International,AA,American Airlines,852,13,2,191,3486.25,42,24,99,0,26,0.2242
2023,2,DEN,Denver International,DL,Delta Air Lines,1933,20,9,259,5220.12,102,14,104,16,23,0.134
2023,2,DEN,Denver International,UA,United Airlines,1329,21,0,422,11277.97,36,131,129,24,102,0.3175
2023,2,DEN,Denver International,WN,Southwest Airlines,818,12,4,220,5673.08,48,88,20,16,48,0.2689
2023,2,DEN,Denver International,B6,JetBlue Airways,690,5,3,310,9334.35,71,64,102,1,72,0.4493
2023,2,DEN,Denver International,AS,Alaska Airlines,1366,7,0,264,7553.94,102,47,31,4,80,0.1933
2023,2,DEN,Denver International,NK,Spirit Airlines,1598,22,5,573,15238.57,117,162,150,18,126,0.3586
2023,2,DEN,Denver International,F9,Frontier Airlines,1344,8,6,321,8036.18,49,65,125,14,68,0.2388
2023,2,JFK,John F. Kennedy International,AA,American Airlines,1995,34,6,524,12215.96,126,196,63,20,119,0.2627
2023,2,JFK,John F. Kennedy International,DL,Delta Air Lines,1057,16,1,327,6360.54,107,70,32,2,116,0.3094
2023,2,JFK,John F. Kennedy International,UA,United Airlines,1347,8,5,476,16309.01,115,43,157,1,160,0.3534
2023,2,JFK,John F. Kennedy International,WN,Southwest Airlines,1560,15,1,684,12910.22,125,100,238,27,194,0.4385
2023,2,JFK,John F. Kennedy International,B6,JetBlue Airways,1111,14,2,328,9565.96,46,83,144,6,49,0.2952
2023,2,JFK,John F. Kennedy International,AS,Alaska Airlines,1007,8,2,428,9730.86,128,81,109,3,107,0.425
2023,2,JFK,John F. Kennedy International,NK,Spirit Airlines,1010,18,4,451,15241.29,118,89,157,0,87,0.4465
2023,2,JFK,John F. Kennedy International,F9,Frontier Airlines,1998,22,0,438,7929.46,66,79,173,21,99,0.2192
2023,2,SFO,San Francisco International,AA,American Airlines,874,14,5,143,4387.8,71,18,33,0,21,0.1636
2023,2,SFO,San Francisco International,DL,Delta Air Lines,992,11,3,246,7445.71,78,53,55,11,49,0.248
2023,2,SFO,San Francisco International,UA,United Airlines,1912,10,0,233,5949.17,59,50,40,5,79,0.1219
2023,2,SFO,San Francisco International,WN,Southwest Airlines,1334,20,4,480,9568.75,133,116,84,6,141,0.3598
2023,2,SFO,San Francisco International,B6,JetBlue Airways,1344,8,2,563,10568.69,171,134,149,21,88,0.4189
2023,2,SFO,San Francisco International,AS,Alaska Airlines,1287,24,0,226,7003.91,21,62,92,6,45,0.1756
2023,2,SFO,San Francisco International,NK,Spirit Airlines,1113,15,0,267,6531.76,21,73,125,5,43,0.2399
2023,2,SFO,San Francisco International,F9,Frontier Airlines,1792,12,8,655,21385.75,163,181,196,4,111,0.3655
2023,2,SEA,Seattle-Tacoma International,AA,American Airlines,708,11,0,225,6243.25,78,19,55,9,64,0.3178
2023,2,SEA,Seattle-Tacoma International,DL,Delta Air Lines,1802,31,4,260,8221.84,49,113,25,20,53,0.1443
2023,2,SEA,Seattle-Tacoma International,UA,United Airlines,1652,19,5,472,11991.87,42,121,231,6,72,0.2857
2023,2,SEA,Seattle-Tacoma International,WN,Southwest Airlines,1296,21,0,491,11618.12,121,89,205,10,66,0.3789
2023,2,SEA,Seattle-Tacoma International,B6,JetBlue Airways,915,6,4,385,9216.66,101,24,145,6,109,0.4208
2023,2,SEA,Seattle-Tacoma International,AS,Alaska Airlines,1831,14,3,305,8613.44,46,47,146,12,54,0.1666
2023,2,SEA,Seattle-Tacoma International,NK,Spirit Airlines,1884,9,2,886,24438.98,217,170,267,29,203,0.4703
2023,2,SEA,Seattle-Tacoma International,F9,Frontier Airlines,1588,19,5,378,9817.29,180,90,53,28,27,0.238
2023,2,LAS,McCarran International,AA,American Airlines,1674,14,4,450,10474.62,171,24,195,32,28,0.2688
2023,2,LAS,McCarran International,DL,Delta Air Lines,1380,6,0,284,8081.26,114,83,34,20,33,0.2058
2023,2,LAS,McCarran International,UA,United Airlines,1470,17,7,579,14848.73,168,151,217,23,20,0.3939
2023,2,LAS,McCarran International,WN,Southwest Airlines,1966,17,5,610,15651.92,174,131,271,9,25,0.3103
2023,2,LAS,McCarran International,B6,JetBlue Airways,1968,26,1,502,15074.84,149,175,103,2,73,0.2551
2023,2,LAS,McCarran International,AS,Alaska Airlines,1359,21,4,427,10498.26,176,50,108,11,82,0.3142
2023,2,LAS,McCarran International,NK,Spirit Airlines,1908,26,9,488,9568.02,33,171,186,4,94,0.2558
2023,2,LAS,McCarran International,F9,Frontier Airlines,1751,17,4,404,11274.25,84,178,91,21,30,0.2307
2023,2,MCO,Orlando International,AA,American Airlines,871,10,2,352,10577.66,103,94,65,4,86,0.4041
2023,2,MCO,Orlando International,DL,Delta Air Lines,778,9,4,338,10122.47,68,52,119,4,95,0.4344
2023,2,MCO,Orlando International,UA,United Airlines,1850,10,6,388,8173.01,150,102,24,23,89,0.2097
2023,2,MCO,Orlando International,WN,Southwest Airlines,990,10,3,155,3569.41,44,38,50,4,19,0.1566
2023,2,MCO,Orlando International,B6,JetBlue Airways,1931,11,8,830,19691.75,217,148,284,2,179,0.4298
2023,2,MCO,Orlando International,AS,Alaska Airlines,1895,13,9,496,14770.07,116,49,98,11,222,0.2617
2023,2,MCO,Orlando International,NK,Spirit Airlines,1663,30,2,481,14188.62,204,122,26,26,103,0.2892
2023,2,MCO,Orlando International,F9,Frontier Airlines,1028,19,4,376,8296.77,56,106,129,7,78,0.3658
2023,2,EWR,Newark Liberty International,AA,American Airlines,1964,35,3,760,23621.15,114,183,307,28,128,0.387
2023,2,EWR,Newark Liberty International,DL,Delta Air Lines,1914,29,8,596,16854.45,155,117,97,12,215,0.3114
2023,2,EWR,Newark Liberty International,UA,United Airlines,1049,6,5,398,12887.31,81,57,156,3,101,0.3794
2023,2,EWR,Newark Liberty International,WN,Southwest Airlines,844,9,0,200,6425.56,40,44,72,16,28,0.237
2023,2,EWR,Newark Liberty International,B6,JetBlue Airways,789,8,3,206,5466.03,64,13,68,1,60,0.2611
2023,2,EWR,Newark Liberty International,AS,Alaska Airlines,1025,17,0,266,5236.05,67,38,22,10,129,0.2595
2023,2,EWR,Newark Liberty International,NK,Spirit Airlines,1810,26,2,453,14554.38,55,19,161,30,188,0.2503
2023,2,EWR,Newark Liberty International,F9,Frontier Airlines,1883,35,7,319,6911.5,177,11,55,1,75,0.1694
2023,2,CLT,Charlotte Douglas International,AA,American Airlines,884,13,5,409,9365.17,97,77,123,3,109,0.4627
2023,2,CLT,Charlotte Douglas International,DL,Delta Air Lines,1132,8,0,468,8923.69,81,63,178,19,127,0.4134
2023,2,CLT,Charlotte Douglas International,UA,United Airlines,1458,24,0,537,12325.02,181,141,162,7,46,0.3683
2023,2,CLT,Charlotte Douglas International,WN,Southwest Airlines,642,10,1,224,6025.43,73,21,100,10,20,0.3489
2023,2,CLT,Charlotte Douglas International,B6,JetBlue Airways,1230,7,4,409,10076.82,159,74,144,17,15,0.3325
2023,2,CLT,Charlotte Douglas International,AS,Alaska Airlines,1409,6,6,496,15576.8,115,74,206,0,101,0.352
2023,2,CLT,Charlotte Douglas International,NK,Spirit Airlines,1204,12,5,435,8816.56,46,108,163,23,95,0.3613
2023,2,CLT,Charlotte Douglas International,F9,Frontier Airlines,1216,22,2,516,14829.59,64,116,190,14,132,0.4243
2023,2,PHX,Phoenix Sky Harbor International,AA,American Airlines,1968,13,1,747,16006.0,203,208,249,2,85,0.3796
2023,2,PHX,Phoenix Sky Harbor International,DL,Delta Air Lines,1936,17,0,710,19334.38,100,89,278,25,218,0.3667
2023,2,PHX,Phoenix Sky Harbor International,UA,United Airlines,1054,6,5,317,9239.74,44,46,106,1,120,0.3008
2023,2,PHX,Phoenix Sky Harbor International,WN,Southwest Airlines,1087,8,2,328,11333.48,75,61,127,12,53,0.3017
2023,2,PHX,Phoenix Sky Harbor International,B6,JetBlue Airways,1452,27,7,395,11992.35,114,142,83,25,31,0.272
2023,2,PHX,Phoenix Sky Harbor International,AS,Alaska Airlines,768,11,4,207,4007.76,43,79,52,10,23,0.2695
2023,2,PHX,Phoenix Sky Harbor International,NK,Spirit Airlines,1722,14,4,727,18572.26,134,164,233,10,186,0.4222
2023,2,PHX,Phoenix Sky Harbor International,F9,Frontier Airlines,1372,6,5,360,6939.25,110,121,85,20,24,0.2624
2023,2,IAH,George Bush Intercontinental,AA,American Airlines,1684,17,5,405,11958.64,151,50,30,9,165,0.2405
2023,2,IAH,George Bush Intercontinental,DL,Delta Air Lines,1357,6,1,444,10725.51,37,70,214,20,103,0.3272
2023,2,IAH,George Bush Intercontinental,UA,United Airlines,1568,6,2,573,17747.21,193,125,109,23,123,0.3654
2023,2,IAH,George Bush Intercontinental,WN,Southwest Airlines,1580,9,5,482,16546.5,121,90,181,17,73,0.3051
2023,2,IAH,George Bush Intercontinental,B6,JetBlue Airways,682,7,3,275,8572.96,86,59,86,1,43,0.4032
2023,2,IAH,George Bush Intercontinental,AS,Alaska Airlines,1792,19,3,578,11737.67,176,83,266,12,41,0.3225
2023,2,IAH,George Bush Intercontinental,NK,Spirit Airlines,760,12,1,320,7649.99,76,21,118,10,95,0.4211
2023,2,IAH,George Bush Intercontinental,F9,Frontier Airlines,745,13,4,242,5072.21,57,48,35,11,91,0.3248
2023,2,MIA,Miami International,AA,American Airlines,1232,21,1,279,5146.67,51,35,50,7,136,0.2265
2023,2,MIA,Miami International,DL,Delta Air Lines,1547,23,5,389,7436.79,139,151,48,19,32,0.2515
2023,2,MIA,Miami International,UA,United Airlines,1292,20,4,445,15366.05,125,114,162,2,42,0.3444
